FID,Año,Región,Comuna,Calle_Uno,Calle_Dos,Número,Claseaccid,Cód_Regi,Cód_Zona,Zona,Intersecci,Ruta,Ubicaci_1,Siniestros,Fallecidos,Menos_grav,Leves,Ilesos,Graves
274,2022,REGION METROPOLITANA,PUENTE ALTO,EJERCITO LIBERTADOR,LOS MANIOS,0,1,13,1,URBANA,EJERCITO LIBERTADOR - LOS MANIOS, , ,5,0,0,4,9,0
275,2022,REGION METROPOLITANA,PUENTE ALTO,EJERCITO LIBERTADOR,SAN CARLOS,0,1,13,1,URBANA,EJERCITO LIBERTADOR - SAN CARLOS, , ,7,0,0,3,13,0
276,2022,REGION METROPOLITANA,PUENTE ALTO,EJERCITO LIBERTADOR,SGTO MENADIER,0,1,13,1,URBANA,EJERCITO LIBERTADOR - SGTO MENADIER, , ,5,1,1,0,8,0
277,2022,REGION METROPOLITANA,PUENTE ALTO,EL PENON,MEXICO,0,1,13,1,URBANA,EL PENON - MEXICO, , ,5,0,0,5,6,0
278,2022,REGION METROPOLITANA,PUENTE ALTO,EL PENON,NONATO COO,0,1,13,1,URBANA,EL PENON - NONATO COO, , ,5,0,0,1,8,2
279,2022,REGION METROPOLITANA,PUENTE ALTO,EL PERAL,CAMILO HENRIQUEZ,0,1,13,1,URBANA,CAMILO HENRIQUEZ - EL PERAL, , ,6,0,0,0,12,1
280,2022,REGION METROPOLITANA,PUENTE ALTO,EYZAGUIRRE,ACCESO SUR,0,1,13,1,URBANA,ACCESO SUR - EYZAGUIRRE, , ,9,0,0,2,13,0
281,2022,REGION METROPOLITANA,PUENTE ALTO,EYZAGUIRRE,EJERCITO LIBERTADOR,0,1,13,1,URBANA,EJERCITO LIBERTADOR - EYZAGUIRRE, , ,8,0,0,1,12,0
282,2022,REGION METROPOLITANA,PUENTE ALTO,EYZAGUIRRE,NOCEDAL,0,1,13,1,URBANA,EYZAGUIRRE - NOCEDAL, , ,5,0,0,1,10,0
283,2022,REGION METROPOLITANA,PUENTE ALTO,EYZAGUIRRE,SAN GUILLERMO,0,1,13,1,URBANA,EYZAGUIRRE - SAN GUILLERMO, , ,6,0,0,0,8,0
284,2022,REGION METROPOLITANA,PUENTE ALTO,GABRIELA PONIENTE,CONCHA Y TORO,0,1,13,1,URBANA,CONCHA Y TORO - GABRIELA PONIENTE, , ,5,0,1,1,7,0
285,2022,REGION METROPOLITANA,PUENTE ALTO,GABRIELA PONIENTE,CRETA,0,1,13,1,URBANA,CRETA - GABRIELA PONIENTE, , ,12,0,0,3,21,2
286,2022,REGION METROPOLITANA,PUENTE ALTO,GABRIELA PONIENTE,EJERCITO LIBERTADOR,0,1,13,1,URBANA,EJERCITO LIBERTADOR - GABRIELA PONIENTE, , ,5,0,0,2,9,0
287,2022,REGION METROPOLITANA,PUENTE ALTO,GABRIELA PONIENTE,JUAN DE DIOS MALEBRAN,0,1,13,1,URBANA,GABRIELA PONIENTE - JUAN DE DIOS MALEBRAN, , ,7,0,1,1,11,1
288,2022,REGION METROPOLITANA,PUENTE ALTO,JORGE ROSS OSSA,JUAN DE DIOS MALEBRAN,0,1,13,1,URBANA,JORGE ROSS OSSA - JUAN DE DIOS MALEBRAN, , ,5,0,0,2,7,1
289,2022,REGION METROPOLITANA,PUENTE ALTO,JOSE LUIS COO,STA ELENA,0,1,13,1,URBANA,JOSE LUIS COO - STA ELENA, , ,6,0,0,1,11,0
290,2022,REGION METROPOLITANA,PUENTE ALTO,MEXICO,EL PENON,0,1,13,1,URBANA,EL PENON - MEXICO, , ,6,0,0,4,9,0
291,2022,REGION METROPOLITANA,PUENTE ALTO,MEXICO,LAS NIEVES ORIENTE,0,1,13,1,URBANA,LAS NIEVES ORIENTE - MEXICO, , ,5,0,0,1,9,0
292,2022,REGION METROPOLITANA,PUENTE ALTO,NONATO COO,SAN CARLOS,0,1,13,1,URBANA,NONATO COO - SAN CARLOS, , ,5,1,0,0,9,0
293,2022,REGION METROPOLITANA,PUENTE ALTO,SAN CARLOS,CONCHA Y TORO,0,1,13,1,URBANA,CONCHA Y TORO - SAN CARLOS, , ,8,0,0,1,14,0
294,2022,REGION METROPOLITANA,PUENTE ALTO,SAN CARLOS,COQUIMBO,0,1,13,1,URBANA,COQUIMBO - SAN CARLOS, , ,8,0,1,4,15,0
295,2022,REGION METROPOLITANA,PUENTE ALTO,SAN CARLOS,MEXICO,0,1,13,1,URBANA,MEXICO - SAN CARLOS, , ,6,0,2,0,11,0
296,2022,REGION METROPOLITANA,PUENTE ALTO,SAN CARLOS,NEMESIO VICUÑA,0,1,13,1,URBANA,NEMESIO VICUÑA - SAN CARLOS, , ,5,0,1,2,10,1
297,2022,REGION METROPOLITANA,PUENTE ALTO,SAN CARLOS,NONATO COO,0,1,13,1,URBANA,NONATO COO - SAN CARLOS, , ,7,0,0,0,13,0
298,2022,REGION METROPOLITANA,QUILICURA,AMERICO VESPUCIO,GRAL SAN MARTIN,0,1,13,1,URBANA,AMERICO VESPUCIO - GRAL SAN MARTIN, , ,12,0,0,2,24,2
299,2022,REGION METROPOLITANA,QUILICURA,AMERICO VESPUCIO,PDTE EDUARDO FREI MONTALVA,0,1,13,1,URBANA,AMERICO VESPUCIO - PDTE EDUARDO FREI MONTALVA, , ,8,1,1,1,7,1
300,2022,REGION METROPOLITANA,QUILICURA,GRAL SAN MARTIN,AMERICO VESPUCIO,0,1,13,1,URBANA,AMERICO VESPUCIO - GRAL SAN MARTIN, , ,13,0,0,4,20,0
301,2022,REGION METROPOLITANA,QUINTA NORMAL,GRAL VELASQUEZ,CARRASCAL,0,1,13,1,URBANA,CARRASCAL - GRAL VELASQUEZ, , ,5,0,0,1,7,0
302,2022,REGION METROPOLITANA,QUINTA NORMAL,NEPTUNO,MAPOCHO,0,1,13,1,URBANA,MAPOCHO - NEPTUNO, , ,6,0,2,3,10,0
303,2022,REGION METROPOLITANA,QUINTA NORMAL,SAN PABLO,MATUCANA,0,1,13,1,URBANA,MATUCANA - SAN PABLO, , ,6,1,0,1,8,1
304,2022,REGION METROPOLITANA,QUINTA NORMAL,SAN PABLO,RADAL,0,1,13,1,URBANA,RADAL - SAN PABLO, , ,5,0,0,2,8,0
305,2022,REGION METROPOLITANA,RECOLETA,AMERICO VESPUCIO,RECOLETA,0,1,13,1,URBANA,AMERICO VESPUCIO - RECOLETA, , ,11,0,0,4,21,0
306,2022,REGION METROPOLITANA,RECOLETA,LA PAZ,STA MARIA,0,1,13,1,URBANA,LA PAZ - STA MARIA, , ,6,0,0,0,10,0
307,2022,REGION METROPOLITANA,RECOLETA,LOS ZAPADORES,RECOLETA,0,1,13,1,URBANA,LOS ZAPADORES - RECOLETA, , ,7,0,0,0,11,1
308,2022,REGION METROPOLITANA,RECOLETA,PERU,SANTOS DUMONT,0,1,13,1,URBANA,PERU - SANTOS DUMONT, , ,5,0,0,1,8,2
309,2022,REGION METROPOLITANA,RECOLETA,RECOLETA, ,464,1,13,1,URBANA,- RECOLETA, , ,5,0,1,3,6,2
310,2022,REGION METROPOLITANA,RECOLETA,RECOLETA,MEXICO,0,1,13,1,URBANA,MEXICO - RECOLETA, , ,5,0,0,0,9,0
311,2022,REGION METROPOLITANA,RECOLETA,RECOLETA,SANTOS DUMONT,0,1,13,1,URBANA,RECOLETA - SANTOS DUMONT, , ,7,0,0,2,10,0
312,2022,REGION METROPOLITANA,RECOLETA,STA MARIA,LA PAZ,0,1,13,1,URBANA,LA PAZ - STA MARIA, , ,5,0,0,1,8,1
313,2022,REGION METROPOLITANA,RECOLETA,STA MARIA,PURISIMA,0,1,13,1,URBANA,PURISIMA - STA MARIA, , ,6,0,0,5,7,0
314,2022,REGION METROPOLITANA,RECOLETA,STA MARIA,RECOLETA,0,1,13,1,URBANA,RECOLETA - STA MARIA, , ,6,0,0,0,13,1
315,2022,REGION METROPOLITANA,RENCA,DOMINGO SANTA MARIA,DORSAL,0,1,13,1,URBANA,DOMINGO SANTA MARIA - DORSAL, , ,5,0,1,1,6,0
316,2022,REGION METROPOLITANA,RENCA,DOMINGO SANTA MARIA,SENADOR JAIME GUZMAN,0,1,13,1,URBANA,DOMINGO SANTA MARIA - SENADOR JAIME GUZMAN, , ,6,0,0,1,11,0
317,2022,REGION METROPOLITANA,RENCA,SENADOR JAIME GUZMAN,DOMINGO SANTA MARIA,0,1,13,1,URBANA,DOMINGO SANTA MARIA - SENADOR JAIME GUZMAN, , ,5,0,0,2,7,0
318,2022,REGION METROPOLITANA,SAN BERNARDO,1 DE MAYO,BARROS ARANA,0,1,13,1,URBANA,1 DE MAYO - BARROS ARANA, , ,5,0,0,3,8,0
319,2022,REGION METROPOLITANA,SAN BERNARDO,BALMACEDA,PADRE HURTADO,0,1,13,1,URBANA,BALMACEDA - PADRE HURTADO, , ,7,0,0,1,13,0
320,2022,REGION METROPOLITANA,SAN BERNARDO,BARROS ARANA,SAN JOSE,0,1,13,1,URBANA,BARROS ARANA - SAN JOSE, , ,7,0,0,0,13,0
321,2022,REGION METROPOLITANA,SAN BERNARDO,CAMINO EL MARISCAL,PADRE HURTADO,0,1,13,1,URBANA,CAMINO EL MARISCAL - PADRE HURTADO, , ,5,0,0,1,9,0
322,2022,REGION METROPOLITANA,SAN BERNARDO,CAMINO EL MARISCAL,SAN FRANCISCO,0,1,13,1,URBANA,CAMINO EL MARISCAL - SAN FRANCISCO, , ,5,0,0,0,9,0
323,2022,REGION METROPOLITANA,SAN BERNARDO,CAMINO LA VARA,PDTE JORGE ALESSANDRI RODRIGUEZ,0,1,13,1,URBANA,CAMINO LA VARA - PDTE JORGE ALESSANDRI RODRIGUEZ, , ,5,0,0,0,9,0
324,2022,REGION METROPOLITANA,SAN BERNARDO,FREIRE,BALMACEDA,0,1,13,1,URBANA,BALMACEDA - FREIRE, , ,5,0,0,0,9,0
325,2022,REGION METROPOLITANA,SAN BERNARDO,FREIRE,COVADONGA,0,1,13,1,URBANA,COVADONGA - FREIRE, , ,5,0,0,3,7,0
326,2022,REGION METROPOLITANA,SAN BERNARDO,FREIRE,SAN ALFONSO,0,1,13,1,URBANA,FREIRE - SAN ALFONSO, , ,5,0,0,0,10,0
327,2022,REGION METROPOLITANA,SAN BERNARDO,GRAN AVDA JOSE MIGUEL CARRERA,CALDERON DE LA BARCA,0,1,13,1,URBANA,CALDERON DE LA BARCA - GRAN AVDA JOSE MIGUEL CARRERA, , ,6,0,0,2,9,0
328,2022,REGION METROPOLITANA,SAN BERNARDO,GRAN AVDA JOSE MIGUEL CARRERA,STA MARTA,0,1,13,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA - STA MARTA, , ,11,0,1,2,20,2
329,2022,REGION METROPOLITANA,SAN BERNARDO,LO BLANCO,SAN FRANCISCO,0,1,13,1,URBANA,LO BLANCO - SAN FRANCISCO, , ,6,0,0,0,11,1
330,2022,REGION METROPOLITANA,SAN BERNARDO,OHIGGINS,VICTORIA,0,1,13,1,URBANA,OHIGGINS - VICTORIA, , ,6,0,1,8,11,2
331,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO, ,13560,1,13,1,URBANA,- PADRE HURTADO, , ,5,0,0,0,9,3
332,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO,BALMACEDA,0,1,13,1,URBANA,BALMACEDA - PADRE HURTADO, , ,10,1,0,0,18,1
333,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO,LO BLANCO,0,1,13,1,URBANA,LO BLANCO - PADRE HURTADO, , ,8,0,1,4,14,0
334,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO,SAN JOSE,0,1,13,1,URBANA,PADRE HURTADO - SAN JOSE, , ,6,0,0,1,12,0
335,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO,STA MARTA,0,1,13,1,URBANA,PADRE HURTADO - STA MARTA, , ,7,0,0,0,13,0
336,2022,REGION METROPOLITANA,SAN BERNARDO,PADRE HURTADO,STA TERESA,0,1,13,1,URBANA,PADRE HURTADO - STA TERESA, , ,6,0,0,0,12,0
337,2022,REGION METROPOLITANA,SAN BERNARDO,PDTE JORGE ALESSANDRI RODRIGUEZ, ,20040,1,13,1,URBANA,- PDTE JORGE ALESSANDRI RODRIGUEZ, , ,10,0,0,0,20,0
338,2022,REGION METROPOLITANA,SAN BERNARDO,PDTE JORGE ALESSANDRI RODRIGUEZ,CAMINO CATEMITO,0,1,13,1,URBANA,CAMINO CATEMITO - PDTE JORGE ALESSANDRI RODRIGUEZ, , ,7,0,1,3,9,0
339,2022,REGION METROPOLITANA,SAN BERNARDO,PDTE JORGE ALESSANDRI RODRIGUEZ,CAMINO LA VARA,0,1,13,1,URBANA,CAMINO LA VARA - PDTE JORGE ALESSANDRI RODRIGUEZ, , ,6,0,0,1,12,0
340,2022,REGION METROPOLITANA,SAN BERNARDO,PDTE JORGE ALESSANDRI RODRIGUEZ,LO BLANCO,0,1,13,1,URBANA,LO BLANCO - PDTE JORGE ALESSANDRI RODRIGUEZ, , ,7,0,0,2,12,0
341,2022,REGION METROPOLITANA,SAN BERNARDO,PORTALES,REGINA GALVEZ,0,1,13,1,URBANA,PORTALES - REGINA GALVEZ, , ,5,0,0,4,7,1
342,2022,REGION METROPOLITANA,SAN BERNARDO,SAN JOSE,BARROS ARANA,0,1,13,1,URBANA,BARROS ARANA - SAN JOSE, , ,9,0,0,0,17,0
343,2022,REGION METROPOLITANA,SAN BERNARDO,SAN JOSE,BULNES,0,1,13,1,URBANA,BULNES - SAN JOSE, , ,5,0,0,4,9,0
344,2022,REGION METROPOLITANA,SAN BERNARDO,SAN MARTIN,CONDELL,0,1,13,1,URBANA,CONDELL - SAN MARTIN, , ,6,0,0,4,7,1
345,2022,REGION METROPOLITANA,SAN BERNARDO,STA MARTA,PADRE HURTADO,0,1,13,1,URBANA,PADRE HURTADO - STA MARTA, , ,6,0,0,0,13,0
346,2022,REGION METROPOLITANA,SAN BERNARDO,URMENETA,12 DE FEBRERO,0,1,13,1,URBANA,12 DE FEBRERO - URMENETA, , ,5,0,0,0,9,1
347,2022,REGION METROPOLITANA,SAN BERNARDO,URMENETA,COVADONGA,0,1,13,1,URBANA,COVADONGA - URMENETA, , ,7,0,0,1,13,1
348,2022,REGION METROPOLITANA,SAN JOAQUIN,ALC CARLOS VALDOVINOS,LAS INDUSTRIAS,0,1,13,1,URBANA,ALC CARLOS VALDOVINOS - LAS INDUSTRIAS, , ,8,0,0,5,10,2
349,2022,REGION METROPOLITANA,SAN JOAQUIN,BENOZZO GOZZOLI,DEPARTAMENTAL,0,1,13,1,URBANA,BENOZZO GOZZOLI - DEPARTAMENTAL, , ,5,0,0,0,8,0
350,2022,REGION METROPOLITANA,SAN JOAQUIN,DEPARTAMENTAL,HAYDN,0,1,13,1,URBANA,DEPARTAMENTAL - HAYDN, , ,9,1,2,2,10,1
351,2022,REGION METROPOLITANA,SAN JOAQUIN,DEPARTAMENTAL,LAS INDUSTRIAS,0,1,13,1,URBANA,DEPARTAMENTAL - LAS INDUSTRIAS, , ,11,0,0,3,18,0
352,2022,REGION METROPOLITANA,SAN JOAQUIN,DEPARTAMENTAL,VICUÑA MACKENNA,0,1,13,1,URBANA,DEPARTAMENTAL - VICUÑA MACKENNA, , ,6,0,1,1,7,1
353,2022,REGION METROPOLITANA,SAN JOAQUIN,LAS INDUSTRIAS,COMERCIO,0,1,13,1,URBANA,COMERCIO - LAS INDUSTRIAS, , ,6,0,0,4,4,0
354,2022,REGION METROPOLITANA,SAN JOAQUIN,PDTE SALVADOR ALLENDE,LAS INDUSTRIAS,0,1,13,1,URBANA,LAS INDUSTRIAS - PDTE SALVADOR ALLENDE, , ,5,0,0,8,4,0
355,2022,REGION METROPOLITANA,SAN JOAQUIN,PDTE SALVADOR ALLENDE,SAN GREGORIO,0,1,13,1,URBANA,PDTE SALVADOR ALLENDE - SAN GREGORIO, , ,5,0,0,2,8,0
356,2022,REGION METROPOLITANA,SAN JOAQUIN,STA ROSA,DEPARTAMENTAL,0,1,13,1,URBANA,DEPARTAMENTAL - STA ROSA, , ,6,1,0,0,8,0
357,2022,REGION METROPOLITANA,SAN JOAQUIN,VICUÑA MACKENNA,DEPARTAMENTAL,0,1,13,1,URBANA,DEPARTAMENTAL - VICUÑA MACKENNA, , ,10,0,0,3,8,8
358,2022,REGION METROPOLITANA,SAN JOAQUIN,VICUÑA MACKENNA,EL PINAR,0,1,13,1,URBANA,EL PINAR - VICUÑA MACKENNA, , ,8,0,0,1,12,0
359,2022,REGION METROPOLITANA,SAN JOAQUIN,VICUÑA MACKENNA,JUAN SEBASTIAN BACH,0,1,13,1,URBANA,JUAN SEBASTIAN BACH - VICUÑA MACKENNA, , ,6,0,0,1,9,0
360,2022,REGION METROPOLITANA,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA, ,3204,1,13,1,URBANA,- GRAN AVDA JOSE MIGUEL CARRERA, , ,10,0,0,1,14,2
361,2022,REGION METROPOLITANA,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,CARLOS EDWARDS,0,1,13,1,URBANA,CARLOS EDWARDS - GRAN AVDA JOSE MIGUEL CARRERA, , ,7,0,0,0,14,0
362,2022,REGION METROPOLITANA,SAN MIGUEL,GRAN AVDA JOSE MIGUEL CARRERA,LAZO,0,1,13,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA - LAZO, , ,7,0,1,1,11,0
363,2022,REGION METROPOLITANA,SAN MIGUEL,ISABEL RIQUELME,SAN IGNACIO DE LOYOLA,0,1,13,1,URBANA,ISABEL RIQUELME - SAN IGNACIO DE LOYOLA, , ,6,0,0,0,11,0
364,2022,REGION METROPOLITANA,SAN MIGUEL,JOSE JOAQUIN PRIETO VIAL,DEPARTAMENTAL,0,1,13,1,URBANA,DEPARTAMENTAL - JOSE JOAQUIN PRIETO VIAL, , ,7,0,0,0,14,0
365,2022,REGION METROPOLITANA,SAN MIGUEL,PDTE JORGE ALESSANDRI RODRIGUEZ,ALC CARLOS VALDOVINOS,0,1,13,1,URBANA,ALC CARLOS VALDOVINOS - PDTE JORGE ALESSANDRI RODRIGUEZ, , ,5,0,0,0,13,0
366,2022,REGION METROPOLITANA,SAN RAMON,AMERICO VESPUCIO,PEDRO AGUIRRE CERDA,0,1,13,1,URBANA,AMERICO VESPUCIO - PEDRO AGUIRRE CERDA, , ,5,0,0,4,8,0
367,2022,REGION METROPOLITANA,SAN RAMON,AMERICO VESPUCIO,STA ROSA,0,1,13,1,URBANA,AMERICO VESPUCIO - STA ROSA, , ,6,0,0,1,10,1
368,2022,REGION METROPOLITANA,SAN RAMON,STA ROSA,AMERICO VESPUCIO,0,1,13,1,URBANA,AMERICO VESPUCIO - STA ROSA, , ,8,0,0,1,17,0
369,2022,REGION METROPOLITANA,SAN RAMON,STA ROSA,ESPERANZA,0,1,13,1,URBANA,ESPERANZA - STA ROSA, , ,7,1,1,0,12,0
370,2022,REGION METROPOLITANA,SAN RAMON,STA ROSA,LOS FRANCISCANOS,0,1,13,1,URBANA,LOS FRANCISCANOS - STA ROSA, , ,6,0,0,1,10,1
371,2022,REGION METROPOLITANA,SANTIAGO,10 DE JULIO HUAMACHUCO,MANUEL RODRIGUEZ,0,1,13,1,URBANA,10 DE JULIO HUAMACHUCO - MANUEL RODRIGUEZ, , ,5,0,0,0,7,0
372,2022,REGION METROPOLITANA,SANTIAGO,BASCUNAN GUERRERO,BLANCO ENCALADA,0,1,13,1,URBANA,BASCUNAN GUERRERO - BLANCO ENCALADA, , ,7,0,0,1,12,1
373,2022,REGION METROPOLITANA,SANTIAGO,BASCUNAN GUERRERO,LIBER BERNARDO O`HIGGINS,0,1,13,1,URBANA,BASCUNAN GUERRERO - LIBER BERNARDO O`HIGGINS, , ,5,0,0,0,9,0
374,2022,REGION METROPOLITANA,SANTIAGO,BLANCO ENCALADA,ABATE MOLINA,0,1,13,1,URBANA,ABATE MOLINA - BLANCO ENCALADA, , ,5,1,0,0,4,0
375,2022,REGION METROPOLITANA,SANTIAGO,BLANCO ENCALADA,BASCUNAN GUERRERO,0,1,13,1,URBANA,BASCUNAN GUERRERO - BLANCO ENCALADA, , ,11,0,1,4,15,1
376,2022,REGION METROPOLITANA,SANTIAGO,ESPERANZA,ANDES,0,1,13,1,URBANA,ANDES - ESPERANZA, , ,5,0,0,0,10,0
377,2022,REGION METROPOLITANA,SANTIAGO,ESPERANZA,LIBER BERNARDO O`HIGGINS,0,1,13,1,URBANA,ESPERANZA - LIBER BERNARDO O`HIGGINS, , ,5,0,0,1,8,0
378,2022,REGION METROPOLITANA,SANTIAGO,ESPERANZA,SAN PABLO,0,1,13,1,URBANA,ESPERANZA - SAN PABLO, , ,5,0,0,0,7,1
379,2022,REGION METROPOLITANA,SANTIAGO,GRAL BULNES,PDTE BALMACEDA,0,1,13,1,URBANA,GRAL BULNES - PDTE BALMACEDA, , ,5,0,0,0,11,0
380,2022,REGION METROPOLITANA,SANTIAGO,GUARDIAMARINA ERNESTO RIQUELME,SAN PABLO,0,1,13,1,URBANA,GUARDIAMARINA ERNESTO RIQUELME - SAN PABLO, , ,5,0,0,0,7,0
381,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,LIBERTAD,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - LIBERTAD, , ,5,0,0,1,7,0
382,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,MANUEL RODRIGUEZ,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - MANUEL RODRIGUEZ, , ,7,0,0,0,10,1
383,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,PORTUGAL,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - PORTUGAL, , ,5,0,0,4,4,1
384,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,REPUBLICA,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - REPUBLICA, , ,5,0,0,0,9,0
385,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,TEATINOS,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - TEATINOS, , ,5,0,1,0,7,0
386,2022,REGION METROPOLITANA,SANTIAGO,LIBER BERNARDO O`HIGGINS,UNION AMERICANA,0,1,13,1,URBANA,LIBER BERNARDO O`HIGGINS - UNION AMERICANA, , ,7,0,0,1,14,0
387,2022,REGION METROPOLITANA,SANTIAGO,LIBERTAD,ROSAS,0,1,13,1,URBANA,LIBERTAD - ROSAS, , ,6,0,0,2,10,0
388,2022,REGION METROPOLITANA,SANTIAGO,MANUEL ANTONIO MATTA,ALDUNATE,0,1,13,1,URBANA,ALDUNATE - MANUEL ANTONIO MATTA, , ,5,0,0,0,9,1
389,2022,REGION METROPOLITANA,SANTIAGO,MANUEL ANTONIO MATTA,ARTURO PRAT,0,1,13,1,URBANA,ARTURO PRAT - MANUEL ANTONIO MATTA, , ,7,0,0,4,10,1
390,2022,REGION METROPOLITANA,SANTIAGO,MANUEL ANTONIO MATTA,NATANIEL COX,0,1,13,1,URBANA,MANUEL ANTONIO MATTA - NATANIEL COX, , ,7,0,1,0,9,1
391,2022,REGION METROPOLITANA,SANTIAGO,MANUEL ANTONIO MATTA,ROBERTO ESPINOZA,0,1,13,1,URBANA,MANUEL ANTONIO MATTA - ROBERTO ESPINOZA, , ,9,0,1,4,11,3
392,2022,REGION METROPOLITANA,SANTIAGO,MANUEL ANTONIO MATTA,SAN FRANCISCO,0,1,13,1,URBANA,MANUEL ANTONIO MATTA - SAN FRANCISCO, , ,5,0,0,3,5,1
393,2022,REGION METROPOLITANA,SANTIAGO,MANUEL RODRIGUEZ,CATEDRAL,0,1,13,1,URBANA,CATEDRAL - MANUEL RODRIGUEZ, , ,6,0,0,2,9,0
394,2022,REGION METROPOLITANA,SANTIAGO,MANUEL RODRIGUEZ,MONEDA,0,1,13,1,URBANA,MANUEL RODRIGUEZ - MONEDA, , ,11,0,0,4,15,1
395,2022,REGION METROPOLITANA,SANTIAGO,MANUEL RODRIGUEZ,ROSAS,0,1,13,1,URBANA,MANUEL RODRIGUEZ - ROSAS, , ,5,0,0,0,6,2
396,2022,REGION METROPOLITANA,SANTIAGO,MANUEL RODRIGUEZ,STA ISABEL,0,1,13,1,URBANA,MANUEL RODRIGUEZ - STA ISABEL, , ,7,0,0,0,12,0
397,2022,REGION METROPOLITANA,SANTIAGO,MAPOCHO,RAFAEL SOTOMAYOR,0,1,13,1,URBANA,MAPOCHO - RAFAEL SOTOMAYOR, , ,6,0,0,1,7,2
398,2022,REGION METROPOLITANA,SANTIAGO,MONEDA,MANUEL RODRIGUEZ,0,1,13,1,URBANA,MANUEL RODRIGUEZ - MONEDA, , ,6,0,0,2,10,0
399,2022,REGION METROPOLITANA,SANTIAGO,NATANIEL COX,10 DE JULIO HUAMACHUCO,0,1,13,1,URBANA,10 DE JULIO HUAMACHUCO - NATANIEL COX, , ,5,0,0,1,10,1
400,2022,REGION METROPOLITANA,SANTIAGO,RICARDO CUMMING,ROSAS,0,1,13,1,URBANA,RICARDO CUMMING - ROSAS, , ,6,0,0,3,7,0
401,2022,REGION METROPOLITANA,SANTIAGO,SAN FRANCISCO,FRANKLIN,0,1,13,1,URBANA,FRANKLIN - SAN FRANCISCO, , ,5,0,0,1,7,2
402,2022,REGION METROPOLITANA,SANTIAGO,SAN PABLO,LIBERTAD,0,1,13,1,URBANA,LIBERTAD - SAN PABLO, , ,5,0,0,0,8,0
403,2022,REGION METROPOLITANA,SANTIAGO,SAN PABLO,MANUEL RODRIGUEZ,0,1,13,1,URBANA,MANUEL RODRIGUEZ - SAN PABLO, , ,6,0,0,1,9,1
404,2022,REGION METROPOLITANA,SANTIAGO,STA ISABEL,VICUÑA MACKENNA,0,1,13,1,URBANA,STA ISABEL - VICUÑA MACKENNA, , ,5,0,0,0,9,1
405,2022,REGION METROPOLITANA,SANTIAGO,STA ROSA,ARAUCO,0,1,13,1,URBANA,ARAUCO - STA ROSA, , ,7,0,0,1,10,3
406,2022,REGION METROPOLITANA,SANTIAGO,STA ROSA,FRANKLIN,0,1,13,1,URBANA,FRANKLIN - STA ROSA, , ,5,1,0,0,7,2
407,2022,REGION METROPOLITANA,SANTIAGO,STA ROSA,MANUEL ANTONIO MATTA,0,1,13,1,URBANA,MANUEL ANTONIO MATTA - STA ROSA, , ,7,0,1,3,8,2
408,2022,REGION METROPOLITANA,SANTIAGO,VIEL,MANUEL ANTONIO MATTA,0,1,13,1,URBANA,MANUEL ANTONIO MATTA - VIEL, , ,5,0,0,6,6,1
409,2022,REGION METROPOLITANA,CURACAVI, , ,0,1,13,2,RURAL,-,RUTA 68,34,6,0,1,6,12,1
410,2022,REGION METROPOLITANA,MAIPU, , ,0,1,13,2,RURAL,-,RUTA 78,12,11,0,0,5,13,2
411,2022,REGION METROPOLITANA,MAIPU, , ,0,1,13,2,RURAL,-,RUTA 78,13,7,0,3,4,6,1
412,2022,REGION METROPOLITANA,MAIPU, , ,0,1,13,2,RURAL,-,RUTA 78,14,11,0,1,1,17,2
413,2022,REGION METROPOLITANA,MELIPILLA, , ,0,1,13,2,RURAL,-,G-74-F,2,5,0,0,0,8,2
414,2022,REGION METROPOLITANA,PADRE HURTADO, , ,0,1,13,2,RURAL,-,RUTA 78,21,5,0,0,3,6,0
415,2022,REGION METROPOLITANA,PUDAHUEL, , ,0,1,13,2,RURAL,-,RUTA 68,10,5,0,0,2,9,0
