X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,Año,Claseaccid,Cód_Regi,Tipo_Accid,Tipo__CONA,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7868227.86492808,-3943634.24030149,32,-70.6814935,-33.363363,REGION METROPOLITANA,13107,HUECHURABA,LOS LIBERTADORES,STA ELENA DE HUECHURABA,0,"LOS LIBERTADORES & STA ELENA DE HUECHURABA, HUECHURABA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,1,2,2
-7868192.84381627,-3921759.22605017,33,-70.6811789,-33.1990861,REGION METROPOLITANA,13301,COLINA,NUEVA COLINA, ,378,"NUEVA COLINA 378, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7868180.58754034,-3958987.72447585,34,-70.6810688,-33.4784797,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,MAIPU, ,3301,"MAIPU 3301, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,0,1
-7868129.67000525,-3955396.13349768,35,-70.6806114,-33.4515645,REGION METROPOLITANA,13106,ESTACION CENTRAL,LIBER BERNARDO O'HIGGINS,SAN BORJA,0,"LIBER BERNARDO O'HIGGINS & SAN BORJA, ESTACION CENTRAL",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7868120.93142522,-3923193.58342855,36,-70.6805329,-33.2098673,REGION METROPOLITANA,13301,COLINA,GRAL SAN MARTIN, ,186,"GRAL SAN MARTIN 186, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7868107.07214862,-3960699.00379354,37,-70.6804084,-33.491301,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,LUCRECIO CARO,0,"DEPARTAMENTAL & LUCRECIO CARO, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7868105.35782846,-3961527.41949286,38,-70.680393,-33.497507,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,SAFO,SAFO,0,"SAFO & SAFO, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7868093.16834422,-3953297.60945878,39,-70.6802835,-33.4358344,REGION METROPOLITANA,13101,SANTIAGO,SAN PABLO,MATUCANA,0,"SAN PABLO & MATUCANA, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,2,2
-7868069.50182047,-3953644.95140397,40,-70.6800709,-33.4384382,REGION METROPOLITANA,13126,QUINTA NORMAL,STO DOMINGO,MATUCANA,0,"STO DOMINGO & MATUCANA, QUINTA NORMAL",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7868056.84479437,-3954492.5532571,41,-70.6799572,-33.4447918,REGION METROPOLITANA,13101,SANTIAGO,MATUCANA,COMPANIA,0,"MATUCANA & COMPANIA, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,0,1,1
-7868018.32825056,-3954357.14304055,42,-70.6796112,-33.4437768,REGION METROPOLITANA,13101,SANTIAGO,MATUCANA,PORTALES,0,"MATUCANA & PORTALES, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,3,4,4
-7868004.53576565,-3954746.91529315,43,-70.6794873,-33.4466984,REGION METROPOLITANA,13106,ESTACION CENTRAL,MATUCANA, ,70,"MATUCANA 70, ESTACION CENTRAL",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867991.09950311,-3970523.63948946,44,-70.6793666,-33.5648727,REGION METROPOLITANA,13105,EL BOSQUE,CLAUDIO ARRAU,MANUEL DE FALLA,0,"CLAUDIO ARRAU & MANUEL DE FALLA, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867989.49650244,-3943839.39420393,45,-70.6793522,-33.3649022,REGION METROPOLITANA,13107,HUECHURABA,AMERICO VESPUCIO, ,1737,"AMERICO VESPUCIO 1737, HUECHURABA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867967.91165318,-3946633.12468961,46,-70.6791583,-33.3858599,REGION METROPOLITANA,13104,CONCHALI,LOS ZAPADORES,INDEPENDENCIA,0,"LOS ZAPADORES & INDEPENDENCIA, CONCHALI",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867957.20271816,-3973991.80840673,47,-70.6790621,-33.5908291,REGION METROPOLITANA,13401,SAN BERNARDO,PADRE HURTADO,STA MARTA,0,"PADRE HURTADO & STA MARTA, SAN BERNARDO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867906.66366934,-3955353.19893169,48,-70.6786081,-33.4512427,REGION METROPOLITANA,13106,ESTACION CENTRAL,LIBER BERNARDO O'HIGGINS,BERNAL DEL MERCADO,0,"LIBER BERNARDO O'HIGGINS & BERNAL DEL MERCADO, ESTACION CENTRAL",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,1,2,2
