X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,Año,Claseaccid,Cód_Regi,Tipo_Accid,Tipo__CONA,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7867349.32037479,-3925647.33594126,88,-70.6736014,-33.2283076,REGION METROPOLITANA,13301,COLINA,CALETERA GRAL SAN MARTIN,1 ORIENTE,0,"CALETERA GRAL SAN MARTIN & 1 ORIENTE, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867327.03421273,-3973226.13046103,89,-70.6734012,-33.5850993,REGION METROPOLITANA,13401,SAN BERNARDO,PADRE HURTADO, ,13560,"PADRE HURTADO 13560, SAN BERNARDO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867319.36429981,-3965849.35941786,90,-70.6733323,-33.5298772,REGION METROPOLITANA,13109,LA CISTERNA,INDUSTRIA,BRISAS DEL MAIPO,0,"INDUSTRIA & BRISAS DEL MAIPO, LA CISTERNA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,2,2
-7867313.31965146,-3921974.79677463,91,-70.673278,-33.2007065,REGION METROPOLITANA,13301,COLINA,GRAL SAN MARTIN,LOS VALLES,0,"GRAL SAN MARTIN & LOS VALLES, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,1,1,1
-7867301.30827841,-3920459.32760886,92,-70.6731701,-33.1893144,REGION METROPOLITANA,13301,COLINA,FRAY CAMILO HENRIQUEZ, ,652,"FRAY CAMILO HENRIQUEZ 652, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867256.84727378,-3956339.41329197,93,-70.6727707,-33.4586342,REGION METROPOLITANA,13101,SANTIAGO,BLANCO ENCALADA, ,2744,"BLANCO ENCALADA 2744, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,0,1
-7867241.25141313,-3968697.65938131,94,-70.6726306,-33.5512036,REGION METROPOLITANA,13105,EL BOSQUE,GRAL KORNER,GRAN AVDA JOSE MIGUEL CARRERA,0,"GRAL KORNER & GRAN AVDA JOSE MIGUEL CARRERA, EL BOSQUE",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867227.75949084,-3955331.70502453,95,-70.6725094,-33.4510816,REGION METROPOLITANA,13101,SANTIAGO,ABATE MOLINA,SALVADOR SANFUENTES,0,"ABATE MOLINA & SALVADOR SANFUENTES, SANTIAGO",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,2,0,2
-7867203.01316804,-3959937.29017844,96,-70.6722871,-33.4855943,REGION METROPOLITANA,13121,PEDRO AGUIRRE CERDA,CLOTARIO BLEST,2 DE ABRIL,0,"CLOTARIO BLEST & 2 DE ABRIL, PEDRO AGUIRRE CERDA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,0,1,1,1
-7867191.09085057,-3946286.5262014,97,-70.67218,-33.3832601,REGION METROPOLITANA,13104,CONCHALI,PEDRO FONTOVA,REUMEN,0,"PEDRO FONTOVA & REUMEN, CONCHALI",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,1,0,0,1,0,1
-7867177.74364363,-3947916.70123282,98,-70.6720601,-33.3954872,REGION METROPOLITANA,13104,CONCHALI,INDEPENDENCIA,CORBETA ESMERALDA,0,"INDEPENDENCIA & CORBETA ESMERALDA, CONCHALI",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,1,0,0,1,1
-7867174.22594772,-3921767.9930118,99,-70.6720285,-33.199152,REGION METROPOLITANA,13301,COLINA,GRAL SAN MARTIN, ,665,"GRAL SAN MARTIN 665, COLINA",2021,1,13,ATROPELLO,ATROPELLO,1,URBANA,0,0,1,1,2,2
