X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Zona,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7858068.79253854,-3978013.3144699,24,REGION METROPOLITANA,PUENTE ALTO,COLISION,EJERCITO LIBERTADOR,LOS COMENDADORES,-,URBANA,-33.620917,-70.590233,1,0,1,0,0,1
-7856609.39401424,-3975600.47491977,25,REGION METROPOLITANA,PUENTE ALTO,COLISION,EL PEÑON,MEXICO,-,URBANA,-33.602866,-70.577123,1,0,0,0,0,0
-7858699.41745388,-3976469.12449706,26,REGION METROPOLITANA,PUENTE ALTO,COLISION,EL RACIMO,-,556,URBANA,-33.609365,-70.595898,1,0,1,0,1,0
-7853124.87131343,-3976690.07320291,27,REGION METROPOLITANA,PUENTE ALTO,COLISION,EYZAGUIRRE,LOMAS DEL PARQUE,-,URBANA,-33.611018,-70.545821,1,0,1,1,0,0
-7857749.08296098,-3972551.02946966,28,REGION METROPOLITANA,PUENTE ALTO,COLISION,GABRIELA PONIENTE,COQUIMBO,-,URBANA,-33.580047,-70.587361,1,0,1,0,0,1
-7855519.57619937,-3973290.09747782,29,REGION METROPOLITANA,PUENTE ALTO,COLISION,LUIS MATTE LARRAIN,-,1085,URBANA,-33.585578,-70.567333,1,0,1,0,0,1
-7856975.18986098,-3973352.90240326,30,REGION METROPOLITANA,PUENTE ALTO,COLISION,LUIS MATTE LARRAIN,CONCHA Y TORO,-,URBANA,-33.586048,-70.580409,1,0,0,0,0,0
-7858563.7189946,-3973527.02082594,31,REGION METROPOLITANA,PUENTE ALTO,COLISION,LUIS MATTE LARRAIN,OBPO ENRIQUE ALVEAR,-,URBANA,-33.587351,-70.594679,1,0,0,0,0,0
-7859826.74993714,-3973184.93340061,32,REGION METROPOLITANA,PUENTE ALTO,COLISION,MIGUEL ANGEL,ACCESO SUR,-,URBANA,-33.584791,-70.606025,1,0,1,0,0,1
-7855366.73453851,-3974977.93176449,33,REGION METROPOLITANA,PUENTE ALTO,COLISION,NONATO COO,LA COPA,-,URBANA,-33.598208,-70.56596,1,0,0,0,0,0
-7855610.30158437,-3973281.01083608,34,REGION METROPOLITANA,PUENTE ALTO,COLISION,NONATO COO,LUIS MATTE LARRAIN,-,URBANA,-33.58551,-70.568148,1,0,1,0,1,0
-7853845.44237733,-3970101.79387856,35,REGION METROPOLITANA,PUENTE ALTO,COLISION,SANCHEZ FONTECILLA,LOS VIÑEDOS,-,URBANA,-33.561715,-70.552294,1,0,0,0,0,0
-7860184.30814157,-3977960.91127886,36,REGION METROPOLITANA,PUENTE ALTO,COLISION,SGTO MENADIER,DEL CONSTRUCTOR,-,URBANA,-33.620525,-70.609237,1,0,1,1,0,0
-7858603.79401129,-3977811.59022816,37,REGION METROPOLITANA,PUENTE ALTO,COLISION,SGTO MENADIER,NOCEDAL,-,URBANA,-33.619408,-70.595039,1,0,1,0,0,1
-7855894.0549664,-3975931.54044013,38,REGION METROPOLITANA,PUENTE ALTO,VOLCADURA,EDUARDO CORDERO,-,411,URBANA,-33.605343,-70.570697,1,0,1,0,0,1
-7855231.37003771,-3975812.18467699,39,REGION METROPOLITANA,PUENTE ALTO,VOLCADURA,EDUARDO CORDERO,NONATO COO,-,URBANA,-33.60445,-70.564744,1,0,0,0,0,0
-7871204.26981316,-3941514.00481302,40,REGION METROPOLITANA,QUILICURA,CHOQUE,PDTE EDUARDO FREI MONTALVA,LAS ESTERAS SUR,-,URBANA,-33.347454,-70.708231,1,0,0,0,0,0
-7875898.61273991,-3942999.28839637,41,REGION METROPOLITANA,QUILICURA,COLISION, ,PEÑABLANCA,-,URBANA,-33.358599,-70.750401,1,0,1,0,0,1
-7874509.90209227,-3944702.83430331,42,REGION METROPOLITANA,QUILICURA,COLISION,AMERICO VESPUCIO,GRAL SAN MARTIN,-,URBANA,-33.37138,-70.737926,1,0,1,0,0,1
