FID,Año,Claseaccid,Cód_Regi,Región,Comuna,Cód_Zona,Zona,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Siniestros,Fallecidos,Graves,Menos_grav,Leves,Ilesos
150,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LUIS BARROS BORGONO,CACIQUE JANEQUEO,CACIQUE JANEQUEO - LUIS BARROS BORGONO,0, , ,1,0,0,0,1,1
151,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,LUIS BARROS BORGONO,INDIO JERONIMO,INDIO JERONIMO - LUIS BARROS BORGONO,0, , ,1,0,0,0,1,1
152,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,NVO HORIZONTE, ,- NVO HORIZONTE,10014, , ,1,0,1,0,0,1
153,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,OBSERVATORIO,LOS OLIVOS,LOS OLIVOS - OBSERVATORIO,0, , ,1,0,1,0,0,1
154,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,OCEANO ATLANTICO, ,- OCEANO ATLANTICO,12672, , ,1,0,1,0,0,1
155,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,OCHAGAVIA,ACHAO,ACHAO - OCHAGAVIA,0, , ,1,0,0,1,0,1
156,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,SAN FRANCISCO, ,- SAN FRANCISCO,11387, , ,1,0,1,0,1,2
157,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,SAN FRANCISCO,ALEJANDRO GUZMAN,ALEJANDRO GUZMAN - SAN FRANCISCO,0, , ,1,0,1,0,0,1
158,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,SAN FRANCISCO,LO BLANCO,LO BLANCO - SAN FRANCISCO,0, , ,1,1,0,0,0,1
159,2022,1,13,REGION METROPOLITANA,EL BOSQUE,1,URBANA,SGTO ALDEA,LOS MORROS,LOS MORROS - SGTO ALDEA,0, , ,1,0,0,0,1,1
160,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,CAMINO LA CANTERA, ,- CAMINO LA CANTERA,1, , ,1,0,1,0,1,0
161,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES, ,- LOS LIBERTADORES,531, , ,1,0,0,0,2,1
162,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES, ,- LOS LIBERTADORES,1889, , ,1,0,0,0,2,0
163,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES, ,- LOS LIBERTADORES,2086, , ,1,0,0,0,1,1
164,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES,ANIBAL PINTO,ANIBAL PINTO - LOS LIBERTADORES,0, , ,1,0,0,0,1,1
165,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES,SAN SEBASTIAN,LOS LIBERTADORES - SAN SEBASTIAN,0, , ,1,0,0,0,1,1
166,2022,1,13,REGION METROPOLITANA,EL MONTE,1,URBANA,LOS LIBERTADORES,YUNGAY,LOS LIBERTADORES - YUNGAY,0, , ,1,0,1,0,0,1
167,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL, ,- 5 DE ABRIL,4752, , ,1,0,0,0,1,0
168,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL, ,- 5 DE ABRIL,4823, , ,1,0,0,0,2,1
169,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL,BERNAL DEL MERCADO,5 DE ABRIL - BERNAL DEL MERCADO,0, , ,1,0,0,0,1,1
170,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL,GRAL AMENGUAL,5 DE ABRIL - GRAL AMENGUAL,0, , ,2,0,0,0,2,1
171,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL,LAS REJAS,5 DE ABRIL - LAS REJAS,0, , ,1,0,0,0,1,0
172,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL,PLACILLA,5 DE ABRIL - PLACILLA,0, , ,1,0,0,0,1,1
173,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,5 DE ABRIL,SIN NOMBRE,5 DE ABRIL - SIN NOMBRE,0, , ,1,0,1,0,1,1
174,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,8 DE ENERO,PADRE ALBERTO HURTADO,8 DE ENERO - PADRE ALBERTO HURTADO,0, , ,1,0,0,0,1,0
175,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,APOSTOL SANTIAGO, ,- APOSTOL SANTIAGO,160, , ,1,0,0,0,1,1
176,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,ARICA, ,- ARICA,3742, , ,1,0,1,0,0,1
177,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,ARICA, ,- ARICA,4058, , ,1,0,0,0,1,1
178,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,ARICA,TORO MAZOTTE,ARICA - TORO MAZOTTE,0, , ,1,0,0,0,1,1
179,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,BERNARDO O`HIGGINS, ,- BERNARDO O`HIGGINS,4939, , ,1,0,1,0,0,0
180,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,CURACAVI, ,- CURACAVI,760, , ,1,0,0,0,1,0
181,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,ECUADOR, ,- ECUADOR,5091, , ,1,0,0,0,0,2
182,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,ECUADOR,FRANCISCO JAVIER,ECUADOR - FRANCISCO JAVIER,0, , ,1,0,1,0,0,1
183,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,GRAL VELASQUEZ,LIBER BERNARDO O`HIGGINS,GRAL VELASQUEZ - LIBER BERNARDO O`HIGGINS,0, , ,2,1,0,0,0,3
184,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,HNOS CARRERA,STA TERESA,HNOS CARRERA - STA TERESA,0, , ,1,0,0,1,0,0
185,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,IQUIQUE,SAN BORJA,IQUIQUE - SAN BORJA,0, , ,1,0,0,0,1,1
186,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,JOTABECHE,5 DE ABRIL,5 DE ABRIL - JOTABECHE,0, , ,1,0,0,1,0,1
187,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS ACACIAS,PLAZUELA LOS SAUCES,LAS ACACIAS - PLAZUELA LOS SAUCES,0, , ,1,0,1,0,1,0
188,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS PARCELAS,ATLANTIDA,ATLANTIDA - LAS PARCELAS,0, , ,1,0,0,0,1,1
189,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS NORTE, ,- LAS REJAS NORTE,65, , ,1,0,1,0,0,1
190,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS NORTE,LIBER BERNARDO O`HIGGINS,LAS REJAS NORTE - LIBER BERNARDO O`HIGGINS,0, , ,1,0,0,0,1,1
191,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,5 DE ABRIL,5 DE ABRIL - LAS REJAS SUR,0, , ,2,1,1,0,0,2
192,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,LAS ORQUIDEAS,LAS ORQUIDEAS - LAS REJAS SUR,0, , ,1,0,1,0,0,1
193,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,LIBER BERNARDO O`HIGGINS,LAS REJAS SUR - LIBER BERNARDO O`HIGGINS,0, , ,1,0,1,0,0,1
194,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,LUIS INFANTE CERDA,LAS REJAS SUR - LUIS INFANTE CERDA,0, , ,1,0,0,2,0,0
195,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,MAILEF,LAS REJAS SUR - MAILEF,0, , ,2,0,2,0,0,2
196,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,MANUEL THOMPSON,LAS REJAS SUR - MANUEL THOMPSON,0, , ,1,0,0,0,0,2
197,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS REJAS SUR,TENQUEHUEN,LAS REJAS SUR - TENQUEHUEN,0, , ,1,0,1,0,0,1
198,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LAS VIOLETAS,EL ROBLE,EL ROBLE - LAS VIOLETAS,0, , ,1,0,1,0,0,1
199,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS, ,- LIBER BERNARDO O`HIGGINS,3415, , ,1,0,0,0,1,1
200,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS, ,- LIBER BERNARDO O`HIGGINS,4850, , ,1,0,0,0,1,1
201,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS, ,- LIBER BERNARDO O`HIGGINS,5027, , ,1,0,0,0,0,2
202,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,AEROPUERTO,AEROPUERTO - LIBER BERNARDO O`HIGGINS,0, , ,1,0,1,0,0,1
203,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,CARLOS PEZOA VELIZ,CARLOS PEZOA VELIZ - LIBER BERNARDO O`HIGGINS,0, , ,1,1,1,0,0,0
204,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,CONCON,CONCON - LIBER BERNARDO O`HIGGINS,0, , ,1,0,0,0,0,2
205,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,GRAL VELASQUEZ,GRAL VELASQUEZ - LIBER BERNARDO O`HIGGINS,0, , ,3,0,0,0,2,4
206,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,LAS REJAS NORTE,LAS REJAS NORTE - LIBER BERNARDO O`HIGGINS,0, , ,1,0,0,0,0,2
207,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,NICASIO RETAMALES,LIBER BERNARDO O`HIGGINS - NICASIO RETAMALES,0, , ,2,1,0,0,0,3
208,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LIBER BERNARDO O`HIGGINS,RUIZ TAGLE,LIBER BERNARDO O`HIGGINS - RUIZ TAGLE,0, , ,1,0,1,0,0,1
209,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,LUIS INFANTE CERDA,JUANA WEBER DE AMUNATEGUI,JUANA WEBER DE AMUNATEGUI - LUIS INFANTE CERDA,0, , ,1,0,0,0,1,1
210,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,MAILEF,LAS REJAS SUR,LAS REJAS SUR - MAILEF,0, , ,2,1,1,0,0,1
211,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,MANUEL CHACON,PEDRO AGUIRRE CERDA,MANUEL CHACON - PEDRO AGUIRRE CERDA,0, , ,1,0,0,0,1,1
212,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,PEDRO AGUIRRE CERDA,MANUEL CHACON,MANUEL CHACON - PEDRO AGUIRRE CERDA,0, , ,1,0,1,0,0,1
213,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,PINGUINOS,SIN NOMBRE,PINGUINOS - SIN NOMBRE,0, , ,1,0,0,0,1,1
214,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,STA CORINA,LOS PAJARITOS,LOS PAJARITOS - STA CORINA,0, , ,1,0,1,0,0,1
215,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,TEMUCO, ,- TEMUCO,1268, , ,1,0,0,0,1,0
216,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,TORO MAZOTTE,ARICA,ARICA - TORO MAZOTTE,0, , ,1,0,1,0,0,1
217,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,TORO MAZOTTE,CONDE DEL MAULE,CONDE DEL MAULE - TORO MAZOTTE,0, , ,1,0,0,1,0,0
218,2022,1,13,REGION METROPOLITANA,ESTACION CENTRAL,1,URBANA,TORO MAZOTTE,LA ARAUCANA,LA ARAUCANA - TORO MAZOTTE,0, , ,1,0,0,0,0,2
219,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,AMERICO VESPUCIO, ,- AMERICO VESPUCIO,735, , ,1,1,0,0,0,1
220,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,AMERICO VESPUCIO,LOS LIBERTADORES,AMERICO VESPUCIO - LOS LIBERTADORES,0, , ,1,0,1,0,0,1
221,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,CAMINO AL BOSQUE DE SANTIAGO,LAS ENCINAS,CAMINO AL BOSQUE DE SANTIAGO - LAS ENCINAS,0, , ,1,0,0,0,0,2
222,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,CARLOS AGUIRRE LUCO,RECOLETA,CARLOS AGUIRRE LUCO - RECOLETA,0, , ,2,0,0,0,2,2
223,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,EL SAUCE,STA ROSA DE HUECHURABA,EL SAUCE - STA ROSA DE HUECHURABA,0, , ,1,0,0,0,1,1
224,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,GRAL SAN MARTIN,LOS CHERCANES,GRAL SAN MARTIN - LOS CHERCANES,0, , ,1,0,0,0,0,2
225,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,GRAL SAN MARTIN,SAN PEDRO DE ATACAMA,GRAL SAN MARTIN - SAN PEDRO DE ATACAMA,0, , ,1,0,0,1,0,1
226,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,LAS ENCINAS,LAS PETUNIAS,LAS ENCINAS - LAS PETUNIAS,0, , ,1,0,0,0,1,1
227,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,LOS GOMEROS,RECOLETA,LOS GOMEROS - RECOLETA,0, , ,1,0,0,0,1,1
228,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,PEDRO FONTOVA,CACIQUES CHILENOS,CACIQUES CHILENOS - PEDRO FONTOVA,0, , ,1,0,0,1,0,1
229,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,PEDRO FONTOVA,EL CARMEN,EL CARMEN - PEDRO FONTOVA,0, , ,1,0,0,0,1,1
230,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,PREMIO NOBEL, ,- PREMIO NOBEL,5555, , ,1,0,0,0,0,2
231,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,RECOLETA,CAMINO AL BOSQUE DE SANTIAGO,CAMINO AL BOSQUE DE SANTIAGO - RECOLETA,0, , ,1,0,0,0,1,1
232,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,RECOLETA,CARLOS AGUIRRE LUCO,CARLOS AGUIRRE LUCO - RECOLETA,0, , ,2,0,0,1,0,3
233,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,RECOLETA,DEL PINCOY,DEL PINCOY - RECOLETA,0, , ,2,0,0,0,1,3
234,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,RECOLETA,GUILLERMO SUBIABRE,GUILLERMO SUBIABRE - RECOLETA,0, , ,1,0,0,0,0,2
235,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,REP DE STO DOMINGO, ,- REP DE STO DOMINGO,372, , ,1,0,0,0,1,1
236,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,RINCONADA EL SALTO, ,- RINCONADA EL SALTO,559, , ,1,0,0,0,1,1
237,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,STA ROSA DE HUECHURABA,LA ARAUCARIA,LA ARAUCARIA - STA ROSA DE HUECHURABA,0, , ,1,0,0,0,0,2
238,2022,1,13,REGION METROPOLITANA,HUECHURABA,1,URBANA,STA ROSA DE HUECHURABA,QUILAHUEQUE,QUILAHUEQUE - STA ROSA DE HUECHURABA,0, , ,1,0,1,0,0,1
239,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,BLANCO FOMBONA,CAP BYNON,BLANCO FOMBONA - CAP BYNON,0, , ,1,0,0,0,0,2
240,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,CORREGIMIENTO,NAMUR,CORREGIMIENTO - NAMUR,0, , ,1,0,0,0,1,0
241,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,EL GUANACO,STA LAURA,EL GUANACO - STA LAURA,0, , ,1,0,0,1,0,1
242,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,ESCANILLA,DOMINGO SANTA MARIA,DOMINGO SANTA MARIA - ESCANILLA,0, , ,1,0,0,1,0,1
243,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,GAMERO,ESCANILLA,ESCANILLA - GAMERO,0, , ,1,0,0,0,2,1
244,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,GRAL BORGONO,INDEPENDENCIA,GRAL BORGONO - INDEPENDENCIA,0, , ,1,0,1,0,0,0
245,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,HIPODROMO CHILE,RAZA CHILENA,HIPODROMO CHILE - RAZA CHILENA,0, , ,1,0,1,0,0,1
246,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,HUASCO,HIPODROMO CHILE,HIPODROMO CHILE - HUASCO,0, , ,1,0,1,0,0,1
247,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA, ,- INDEPENDENCIA,1195, , ,1,0,1,0,0,1
248,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA, ,- INDEPENDENCIA,2223, , ,1,0,1,0,0,1
249,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,ANTONIA LOPEZ DE BELLO,ANTONIA LOPEZ DE BELLO - INDEPENDENCIA,0, , ,1,0,0,1,0,1
250,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,BEZANILLA,BEZANILLA - INDEPENDENCIA,0, , ,1,0,0,1,0,1
251,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,GAMERO,GAMERO - INDEPENDENCIA,0, , ,1,0,1,0,0,1
252,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,GRAL SAAVEDRA,GRAL SAAVEDRA - INDEPENDENCIA,0, , ,1,0,0,0,1,1
253,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,INGLATERRA,INDEPENDENCIA - INGLATERRA,0, , ,1,0,1,0,0,0
254,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,OLIVOS,INDEPENDENCIA - OLIVOS,0, , ,1,0,1,0,0,1
255,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,INDEPENDENCIA,PANTALEON VELEZ SILVA,INDEPENDENCIA - PANTALEON VELEZ SILVA,0, , ,1,0,0,0,2,0
256,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,ISIDORA MELERO,LAS CANAS,ISIDORA MELERO - LAS CANAS,0, , ,1,0,1,0,0,1
257,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,LA PAZ, ,- LA PAZ,1000, , ,1,0,0,0,1,1
258,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,LA PAZ,SANTOS DUMONT,LA PAZ - SANTOS DUMONT,0, , ,1,0,0,0,1,0
259,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,MARURI, ,- MARURI,272, , ,1,0,0,0,1,0
260,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,MARURI,RIVERA,MARURI - RIVERA,0, , ,1,0,0,0,1,1
261,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,PABLO URZUA, ,- PABLO URZUA,1468, , ,1,0,0,0,2,1
262,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,PROFE ALBERTO ZANARTU, ,- PROFE ALBERTO ZANARTU,1023, , ,1,0,0,0,1,1
263,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,PROFE ALBERTO ZANARTU, ,- PROFE ALBERTO ZANARTU,1121, , ,1,0,0,0,1,1
264,2022,1,13,REGION METROPOLITANA,INDEPENDENCIA,1,URBANA,PROFE ALBERTO ZANARTU,INDEPENDENCIA,INDEPENDENCIA - PROFE ALBERTO ZANARTU,0, , ,2,0,0,0,2,1
265,2022,1,13,REGION METROPOLITANA,ISLA DE MAIPO,1,URBANA,SANTELICES, ,- SANTELICES,219, , ,1,0,1,0,1,0
266,2022,1,13,REGION METROPOLITANA,ISLA DE MAIPO,1,URBANA,SANTELICES,CORTES,CORTES - SANTELICES,0, , ,1,0,0,0,1,1
267,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,AUGUSTO BIAUT,GRAN AVDA JOSE MIGUEL CARRERA,AUGUSTO BIAUT - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
268,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,BRIONES LUCO,GRAN AVDA JOSE MIGUEL CARRERA,BRIONES LUCO - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,1,0,0,1
269,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,CIENCIAS,CARVAJAL,CARVAJAL - CIENCIAS,0, , ,1,0,2,0,0,1
270,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,CONCHA,OSSA,CONCHA - OSSA,0, , ,1,0,0,0,1,1
271,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,EL PARRON,GRAN AVDA JOSE MIGUEL CARRERA,EL PARRON - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,2,0,0,0,3,1
272,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,ELIAS FERNANDEZ ALBANO,IQUIQUE,ELIAS FERNANDEZ ALBANO - IQUIQUE,0, , ,1,0,0,0,1,1
273,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GOYCOLEA,GRAN AVDA JOSE MIGUEL CARRERA,GOYCOLEA - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
274,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GOYCOLEA,ROSARIO DE STA FE,GOYCOLEA - ROSARIO DE STA FE,0, , ,1,0,0,0,1,1
275,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GOYCOLEA,SALAS,GOYCOLEA - SALAS,0, , ,1,0,0,0,1,1
276,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAL FREIRE,COVADONGA,COVADONGA - GRAL FREIRE,0, , ,1,0,0,0,0,2
277,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,AMERICO VESPUCIO,AMERICO VESPUCIO - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,2,0,1,0,1,2
278,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,AUGUSTO BIAUT,AUGUSTO BIAUT - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
279,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,CARLOS BIAUT,CARLOS BIAUT - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
280,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,CARVAJAL,CARVAJAL - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,0,3
281,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,ELIAS FERNANDEZ ALBANO,ELIAS FERNANDEZ ALBANO - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,2
282,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,GRAL FREIRE,GRAL FREIRE - GRAN AVDA JOSE MIGUEL CARRERA,0, , ,1,0,0,0,1,1
283,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,GRAN AVDA JOSE MIGUEL CARRERA,OSSA,GRAN AVDA JOSE MIGUEL CARRERA - OSSA,0, , ,1,0,0,0,1,1
284,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,INDUSTRIA,AUGUSTO BIAUT,AUGUSTO BIAUT - INDUSTRIA,0, , ,1,0,0,0,1,1
285,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,MAMINA, ,- MAMINA,23, , ,1,0,0,0,1,1
286,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,OSSA, ,- OSSA,171, , ,1,0,1,0,0,1
287,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,ROSARIO DE STA FE,GOYCOLEA,GOYCOLEA - ROSARIO DE STA FE,0, , ,1,0,0,0,0,2
288,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,SAN CARLOS,AMERICO VESPUCIO,AMERICO VESPUCIO - SAN CARLOS,0, , ,1,0,1,0,0,1
289,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,SAN FRANCISCO, ,- SAN FRANCISCO,7591, , ,1,0,1,0,0,1
290,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,TRINIDAD RAMIREZ,PEZOA VELIZ,PEZOA VELIZ - TRINIDAD RAMIREZ,0, , ,1,0,0,0,1,1
291,2022,1,13,REGION METROPOLITANA,LA CISTERNA,1,URBANA,VICUÑA MACKENNA,JULIO COVARRUBIAS,JULIO COVARRUBIAS - VICUÑA MACKENNA,0, , ,1,0,0,0,1,1
