FID,Año,Claseaccid,Cód_Regi,Región,Comuna,Cód_Zona,Zona,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Siniestros,Fallecidos,Graves,Menos_grav,Leves,Ilesos
25,2022,1,13,REGION METROPOLITANA,PADRE HURTADO,2,RURAL, , ,-,0,RUTA 76,13,1,0,0,0,1,1
26,2022,1,13,REGION METROPOLITANA,PADRE HURTADO,2,RURAL, , ,-,0,RUTA 78,24,1,0,1,0,0,1
27,2022,1,13,REGION METROPOLITANA,PADRE HURTADO,2,RURAL, , ,-,0,RUTA 78,28,1,0,0,1,0,1
28,2022,1,13,REGION METROPOLITANA,PUDAHUEL,2,RURAL, , ,-,0,RUTA 68,"16,1",1,1,0,0,0,1
29,2022,1,13,REGION METROPOLITANA,PUDAHUEL,2,RURAL, , ,-,0,RUTA 68,"19,7",1,1,0,0,0,1
30,2022,1,13,REGION METROPOLITANA,PUDAHUEL,2,RURAL, , ,-,0,RUTA 68,"3,6",1,1,0,0,0,1
31,2022,1,13,REGION METROPOLITANA,PUDAHUEL,2,RURAL, , ,-,0,RUTA 68,"4,8",1,1,0,0,0,1
32,2022,1,13,REGION METROPOLITANA,PUDAHUEL,2,RURAL, , ,-,0,RUTA 68,"5,4",1,1,0,0,0,2
33,2022,1,13,REGION METROPOLITANA,SAN PEDRO,2,RURAL, , ,-,0,RUTA 66,91,1,0,1,0,0,1
34,2022,1,13,REGION METROPOLITANA,TALAGANTE,2,RURAL, , ,-,0,RUTA 78,"24,8",1,0,0,1,0,1
35,2022,1,13,REGION METROPOLITANA,TALAGANTE,2,RURAL, , ,-,0,RUTA 78,38,1,1,0,0,0,0
36,2022,1,13,REGION METROPOLITANA,TALAGANTE,2,RURAL, , ,-,0,RUTA 78,"38,3",1,1,0,0,0,1
37,2022,1,13,REGION METROPOLITANA,TILTIL,2,RURAL, , ,-,0,G-16,4,1,1,0,0,0,1
38,2022,1,13,REGION METROPOLITANA,TILTIL,2,RURAL, , ,-,0,G-16,6,1,0,0,0,1,1
39,2022,1,13,REGION METROPOLITANA,TILTIL,2,RURAL, , ,-,0,RUTA 71,"3,6",1,1,0,0,0,1
40,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,ARTURO PRAT,ANIBAL PINTO,ANIBAL PINTO - ARTURO PRAT,0, , ,1,0,0,0,1,1
41,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,ARTURO PRAT,PRESIDENTE ERRAZURIZ,ARTURO PRAT - PRESIDENTE ERRAZURIZ,0, , ,1,0,0,0,1,1
42,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CALETERA ORIENTE RUTA 5 SUR,ENLACE LINDEROS,CALETERA ORIENTE RUTA 5 SUR - ENLACE LINDEROS,0, , ,1,0,0,0,1,1
43,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CAMINO BUIN MAIPO,CALLEJON LO SALINA,CALLEJON LO SALINA - CAMINO BUIN MAIPO,0, , ,1,0,1,0,0,1
44,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CAMINO BUIN MAIPO,LAS PALMAS,CAMINO BUIN MAIPO - LAS PALMAS,0, , ,1,0,0,0,1,1
45,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CAMINO PADRE HURTADO, ,- CAMINO PADRE HURTADO,1200, , ,1,1,0,0,0,1
46,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CARLOS CONDELL,JOSE JOAQUIN PRIETO,CARLOS CONDELL - JOSE JOAQUIN PRIETO,0, , ,1,0,0,0,1,1
47,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CARLOS CONDELL,PRESIDENTE ERRAZURIZ,CARLOS CONDELL - PRESIDENTE ERRAZURIZ,0, , ,2,0,0,0,2,3
48,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,CHILE, ,- CHILE,3, , ,1,0,0,0,1,1
49,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,ENRIQUE TOCORNAL,CLAUDIO BRAVO,CLAUDIO BRAVO - ENRIQUE TOCORNAL,0, , ,1,0,1,0,0,1
50,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,JOSE MANUEL BALMACEDA,ANIBAL PINTO,ANIBAL PINTO - JOSE MANUEL BALMACEDA,0, , ,3,0,0,1,2,3
51,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,JOSE MANUEL BALMACEDA,BERNARDO O'HIGGINS,BERNARDO O'HIGGINS - JOSE MANUEL BALMACEDA,0, , ,3,0,0,2,1,3
52,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,JOSE MANUEL BALMACEDA,MANUEL MONTT,JOSE MANUEL BALMACEDA - MANUEL MONTT,0, , ,1,0,0,0,1,1
53,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,LAS DELICIAS,FELIPE DE NERY,FELIPE DE NERY - LAS DELICIAS,0, , ,1,0,0,0,1,1
54,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,MANUEL MONTT,CARLOS CONDELL,CARLOS CONDELL - MANUEL MONTT,0, , ,1,0,0,0,1,1
55,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,MANUEL MONTT,JOSE MIGUEL CARRERA,JOSE MIGUEL CARRERA - MANUEL MONTT,0, , ,1,0,0,0,1,1
56,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,PRESIDENTE ERRAZURIZ,CARLOS CONDELL,CARLOS CONDELL - PRESIDENTE ERRAZURIZ,0, , ,1,0,0,0,1,1
57,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,PRESIDENTE ERRAZURIZ,MAIPU,MAIPU - PRESIDENTE ERRAZURIZ,0, , ,1,0,0,0,1,1
58,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,SAN MARTIN, ,- SAN MARTIN,199, , ,1,0,0,0,1,1
59,2022,1,13,REGION METROPOLITANA,BUIN,1,URBANA,SAN MARTIN,MANUEL RODRIGUEZ,MANUEL RODRIGUEZ - SAN MARTIN,0, , ,1,0,0,0,1,1
60,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,ALFONSO RUIZ TAGLE,LOS CIPRESES,ALFONSO RUIZ TAGLE - LOS CIPRESES,0, , ,1,0,0,0,1,1
61,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO, ,- CALERA DE TANGO,8, , ,2,0,0,0,2,4
62,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO, ,- CALERA DE TANGO,9, , ,1,0,0,0,1,1
63,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO, ,- CALERA DE TANGO,10, , ,1,0,0,0,1,1
64,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO, ,- CALERA DE TANGO,345, , ,1,0,0,0,1,1
65,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO,IGNACIO CARRERA PINTO,CALERA DE TANGO - IGNACIO CARRERA PINTO,0, , ,1,0,0,0,1,1
66,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CALERA DE TANGO,LOS DIAGUITAS,CALERA DE TANGO - LOS DIAGUITAS,0, , ,1,0,0,0,1,1
67,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CAMINO A LONQUEN, ,- CAMINO A LONQUEN,13, , ,1,0,0,0,1,1
68,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,CAMINO A LONQUEN, ,- CAMINO A LONQUEN,21, , ,1,0,0,0,1,1
69,2022,1,13,REGION METROPOLITANA,CALERA DE TANGO,1,URBANA,EL CARMEN, ,- EL CARMEN,949, , ,1,0,0,0,0,2
70,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,AEROPUERTO,VISTA CLARA,AEROPUERTO - VISTA CLARA,0, , ,1,0,1,0,0,2
71,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,AMAZONAS, ,- AMAZONAS,854, , ,1,0,0,0,1,2
72,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,AMERICO VESPUCIO, ,- AMERICO VESPUCIO,1501, , ,1,0,1,0,0,1
73,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,CERRILLOS,LO ERRAZURIZ,CERRILLOS - LO ERRAZURIZ,0, , ,1,0,1,0,0,1
74,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,DEPARTAMENTAL,BUZETA,BUZETA - DEPARTAMENTAL,0, , ,1,0,0,0,2,0
75,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,EL MIRADOR, ,- EL MIRADOR,795, , ,1,0,0,0,1,2
76,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,FERNANDEZ ALBANO,GRAL VELASQUEZ,FERNANDEZ ALBANO - GRAL VELASQUEZ,0, , ,1,0,1,0,0,1
77,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,LO ERRAZURIZ,CERRILLOS,CERRILLOS - LO ERRAZURIZ,0, , ,1,0,0,0,1,1
78,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,LO ERRAZURIZ,PEDRO AGUIRRE CERDA,LO ERRAZURIZ - PEDRO AGUIRRE CERDA,0, , ,1,0,0,2,1,1
79,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,LOS CEIBOS,PEDRO AGUIRRE CERDA,LOS CEIBOS - PEDRO AGUIRRE CERDA,0, , ,1,0,1,0,0,2
80,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,PDTE SALVADOR ALLENDE, ,- PDTE SALVADOR ALLENDE,5200, , ,1,0,1,0,0,1
81,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,PEDRO AGUIRRE CERDA,ANTONIO ESCOBAR WILLIAMS,ANTONIO ESCOBAR WILLIAMS - PEDRO AGUIRRE CERDA,0, , ,1,0,0,0,2,1
82,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,PEDRO AGUIRRE CERDA,DEPARTAMENTAL,DEPARTAMENTAL - PEDRO AGUIRRE CERDA,0, , ,1,0,0,0,1,1
83,2022,1,13,REGION METROPOLITANA,CERRILLOS,1,URBANA,PEDRO AGUIRRE CERDA,SUIZA,PEDRO AGUIRRE CERDA - SUIZA,0, , ,1,0,0,0,1,1
84,2022,1,13,REGION METROPOLITANA,CERRO NAVIA,1,URBANA,JOSE JOAQUIN PEREZ,LAS TORRES,JOSE JOAQUIN PEREZ - LAS TORRES,0, , ,1,1,0,0,0,1
85,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,ACONCAGUA, ,- ACONCAGUA,700, , ,1,0,0,0,1,1
86,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,FONTT, ,- FONTT,66, , ,1,0,0,1,0,1
87,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,FONTT, ,- FONTT,830, , ,1,0,0,0,1,1
88,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,FRAY CAMILO HENRIQUEZ, ,- FRAY CAMILO HENRIQUEZ,252, , ,1,0,1,0,0,1
89,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,GRAL SAN MARTIN, ,- GRAL SAN MARTIN,665, , ,1,0,0,0,0,2
90,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,GRAL SAN MARTIN, ,- GRAL SAN MARTIN,1067, , ,1,0,1,0,1,0
91,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,GRAL SAN MARTIN, ,- GRAL SAN MARTIN,1389, , ,1,0,0,1,0,1
92,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,GRAL SAN MARTIN,INMACULADA CONCEPCION,GRAL SAN MARTIN - INMACULADA CONCEPCION,0, , ,1,0,0,1,0,1
93,2022,1,13,REGION METROPOLITANA,COLINA,1,URBANA,GRAL SAN MARTIN,SAN JAIME,GRAL SAN MARTIN - SAN JAIME,0, , ,1,0,0,0,1,1
