X,Y,FID,POINT_X,POINT_Y,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,Año,Claseaccid,Cód_Regi,Cód_Comun,Cód_Zona,Zona,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Siniestros
-7863016.55428608,-3966418.40496371,382,-70.6346795,-33.5341383,REGION METROPOLITANA,13131,SAN RAMON,STA ROSA,URUGUAY,0,"STA ROSA & URUGUAY, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,0,0,0,3,6,5
-7863000.75805034,-3966837.07084537,383,-70.6345376,-33.5372732,REGION METROPOLITANA,13111,LA GRANJA,STA ROSA,SAN GREGORIO,0,"STA ROSA & SAN GREGORIO, LA GRANJA",CHILE,2021,1,13,13111,1,URBANA,0,1,0,0,9,6
-7862952.93519709,-3967486.36753689,384,-70.634108,-33.5421348,REGION METROPOLITANA,13111,LA GRANJA,STA ROSA,AMERICO VESPUCIO,0,"STA ROSA & AMERICO VESPUCIO, LA GRANJA",CHILE,2021,1,13,13111,1,URBANA,0,6,1,26,87,65
-7862941.53608123,-3954103.38989527,385,-70.6340056,-33.4418747,REGION METROPOLITANA,13101,SANTIAGO,DIAG PARAGUAY,VICUNA MACKENNA,0,"DIAG PARAGUAY & VICUNA MACKENNA, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,1,0,3,14,9
-7862938.50819108,-3953203.64563579,386,-70.6339784,-33.43513,REGION METROPOLITANA,13123,PROVIDENCIA,ANDRES BELLO,ARZ CASANOVA,0,"ANDRES BELLO & ARZ CASANOVA, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,9,5
-7862923.56911542,-3967870.18508706,387,-70.6338442,-33.5450085,REGION METROPOLITANA,13131,SAN RAMON,STA ROSA,LOS FRANCISCANOS,0,"STA ROSA & LOS FRANCISCANOS, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,0,0,0,0,10,6
-7862868.48823137,-3954286.1833834,388,-70.6333494,-33.4432449,REGION METROPOLITANA,13123,PROVIDENCIA,FRANCISCO BILBAO,VICUNA MACKENNA,0,"FRANCISCO BILBAO & VICUNA MACKENNA, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,4,0,10,50,31
-7862856.86647654,-3968211.64745134,389,-70.633245,-33.547565,REGION METROPOLITANA,13131,SAN RAMON,VICUNA MACKENNA,STA ROSA,0,"VICUNA MACKENNA & STA ROSA, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,0,0,1,4,8,7
-7862820.46500305,-3954573.14643466,390,-70.632918,-33.4453959,REGION METROPOLITANA,13101,SANTIAGO,VICUNA MACKENNA,MARIN,0,"VICUNA MACKENNA & MARIN, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,2,0,6,8,7
-7862791.12118527,-3968727.25940594,391,-70.6326544,-33.5514252,REGION METROPOLITANA,13131,SAN RAMON,STA ROSA,RIQUELME,0,"STA ROSA & RIQUELME, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,0,0,0,6,3,5
-7862763.82564613,-3954042.13030927,392,-70.6324092,-33.4414155,REGION METROPOLITANA,13123,PROVIDENCIA,RAMON CARNICER,RANCAGUA,0,"RAMON CARNICER & RANCAGUA, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,1,4,10,7
-7862756.10007347,-3968722.17022663,393,-70.6323398,-33.5513871,REGION METROPOLITANA,13111,LA GRANJA,CANTO GENERAL,STA ROSA,0,"CANTO GENERAL & STA ROSA, LA GRANJA",CHILE,2021,1,13,13111,1,URBANA,0,0,1,3,8,6
-7862751.55823825,-3954842.63936818,394,-70.632299,-33.4474159,REGION METROPOLITANA,13101,SANTIAGO,STA ISABEL,VICUNA MACKENNA,0,"STA ISABEL & VICUNA MACKENNA, SANTIAGO",CHILE,2021,1,13,13101,1,URBANA,0,2,0,2,21,13
-7862713.78753502,-3969052.3303757,395,-70.6319597,-33.5538588,REGION METROPOLITANA,13131,SAN RAMON,ESPERANZA,STA ROSA,0,"ESPERANZA & STA ROSA, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,1,3,2,20,18,20
-7862628.73944405,-3953331.66553014,396,-70.6311957,-33.4360897,REGION METROPOLITANA,13123,PROVIDENCIA,PROVIDENCIA,SEMINARIO,0,"PROVIDENCIA & SEMINARIO, PROVIDENCIA",CHILE,2021,1,13,13123,1,URBANA,0,0,0,1,10,6
-7862618.37559946,-3969614.11990829,397,-70.6311026,-33.5580644,REGION METROPOLITANA,13131,SAN RAMON,STA ROSA,VENANCIA LEIVA,0,"STA ROSA & VENANCIA LEIVA, SAN RAMON",CHILE,2021,1,13,13131,1,URBANA,0,1,2,3,5,6
-7862583.08732088,-3959300.26934173,398,-70.6307856,-33.4808215,REGION METROPOLITANA,13129,SAN JOAQUIN,SIERRA BELLA,ISABEL RIQUELME,0,"SIERRA BELLA & ISABEL RIQUELME, SAN JOAQUIN",CHILE,2021,1,13,13129,1,URBANA,0,0,0,2,6,5
-7862579.73660421,-3955442.69726859,399,-70.6307555,-33.4519135,REGION METROPOLITANA,13120,NUNOA,IRARRAZAVAL,VICUNA MACKENNA,0,"IRARRAZAVAL & VICUNA MACKENNA, ??ªU??ªOA",CHILE,2021,1,13,13120,1,URBANA,0,2,0,2,7,6
