X,Y,FID,Región,Comuna,Tipo__CONA,Calle_Uno,Calle_Dos,Número,Latitude,Longitude,Cant__Sini,Fallecidos,Lesionados,Graves,Menos_grav,Leves
-7874844.19452312,-3953376.92692865,58,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN FRANCISCO,TTE CRUZ,-,-33.436429,-70.740929,1,0,0,0,0,0
-7869911.07128862,-3953743.50769495,59,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,4520,-33.439177,-70.696614,1,0,1,1,0,0
-7875135.62895002,-3954531.53556828,60,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,8400,-33.445084,-70.743547,1,0,1,1,0,0
-7875183.16237258,-3954609.98109656,61,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,8444,-33.445672,-70.743974,1,0,1,1,0,0
-7875727.29204358,-3954450.02215581,62,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,8537,-33.444473,-70.748862,1,0,1,1,0,0
-7876392.20336209,-3954416.80327022,63,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,8776,-33.444224,-70.754835,1,0,0,0,0,0
-7877885.88828955,-3954275.39060734,64,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,9364,-33.443164,-70.768253,1,0,0,0,0,0
-7878678.483064,-3954391.45559033,65,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,-,9630,-33.444034,-70.775373,1,1,0,0,0,0
-7877421.68601295,-3954125.97533146,66,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,FEDERICO ERRAZURIZ,-,-33.442044,-70.764083,1,0,1,1,0,0
-7876786.2743595,-3954273.25608982,67,REGION METROPOLITANA,PUDAHUEL,COLISION,SAN PABLO,STA VICTORIA,-,-33.443148,-70.758375,1,0,1,0,0,1
-7877960.24970941,-3954245.24058382,68,REGION METROPOLITANA,PUDAHUEL,COLISION,SERRANO,SAN PABLO,-,-33.442938,-70.768921,1,0,1,0,0,1
-7875203.31120042,-3956139.37491522,69,REGION METROPOLITANA,PUDAHUEL,COLISION,TTE CRUZ,LA TRAVESIA,-,-33.457135,-70.744155,1,0,1,1,0,0
-7874490.75513985,-3956914.08875651,70,REGION METROPOLITANA,PUDAHUEL,COLISION,TTE CRUZ,LAGUNA SUR,-,-33.462941,-70.737754,1,0,1,1,0,0
-7874837.40403418,-3953571.55479086,71,REGION METROPOLITANA,PUDAHUEL,COLISION,TTE CRUZ,PTO RICO,-,-33.437888,-70.740868,1,0,0,0,0,0
-7879779.65546693,-3952876.83237076,72,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,AMERICO VESPUCIO,-,12,-33.43268,-70.785265,2,1,1,1,0,0
-7877401.6485046,-3956640.27766096,73,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,AMERICO VESPUCIO,ARGOS,-,-33.460889,-70.763903,1,0,1,1,0,0
-7877018.82077577,-3946706.33046534,74,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,AMERICO VESPUCIO,CAMINO LO BOZA,-,-33.386409,-70.760464,1,0,1,0,0,1
-7878036.28092162,-3947740.00808066,75,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,AMERICO VESPUCIO,MIRAFLORES,-,-33.394162,-70.769604,1,0,1,0,0,1
-7879593.64059781,-3947043.76880685,76,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,CAMINO A LAMPA,MIRAFLORES,-,-33.38894,-70.783594,1,0,0,0,0,0
-7877272.74053427,-3954082.08496071,77,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,SAN PABLO,-,9099,-33.441715,-70.762745,1,1,0,0,0,0
-7876483.81930301,-3954370.91066948,78,REGION METROPOLITANA,PUDAHUEL,VOLCADURA,SAN PABLO,SAN LUIS,-,-33.44388,-70.755658,1,0,1,0,0,1
-7855231.37003771,-3975812.18467699,79,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,EDUARDO CORDERO,NONATO COO,-,-33.60445,-70.564744,1,0,0,0,0,0
-7857149.96146153,-3972453.35470692,80,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,GABRIELA PONIENTE,CONCHA Y TORO,-,-33.579316,-70.581979,1,0,0,0,0,0
-7854360.07238327,-3973513.79147512,81,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,LAS NIEVES ORIENTE,ANGEL PIMENTEL,-,-33.587252,-70.556917,1,0,0,0,0,0
-7856609.39401424,-3975600.47491977,82,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,MEXICO,GABRIELA ORIENTE,-,-33.602866,-70.577123,1,0,0,0,0,0
-7858755.85643571,-3978338.70084394,83,REGION METROPOLITANA,PUENTE ALTO,ATROPELLO,VALLE CENTRAL,-,687,-33.623351,-70.596405,1,0,1,0,0,1
-7857009.47626415,-3975677.32618123,84,REGION METROPOLITANA,PUENTE ALTO,CHOQUE, ,DOMINGO TOCORNAL,-,-33.603441,-70.580717,1,0,0,0,0,0
-7858670.25174729,-3972700.68324181,85,REGION METROPOLITANA,PUENTE ALTO,CHOQUE, ,GABRIELA PONIENTE,-,-33.581167,-70.595636,1,0,0,0,0,0
-7853929.48859288,-3972226.20729497,86,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CAMILO HENRIQUEZ,-,3270,-33.577616,-70.553049,1,0,1,0,0,1
-7854839.30279113,-3969240.97072707,87,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CAMILO HENRIQUEZ,-,4673,-33.555271,-70.561222,1,0,0,0,0,0
-7855598.39039885,-3968205.50319404,88,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CAMILO HENRIQUEZ,TRINIDAD ORIENTE,-,-33.547519,-70.568041,1,0,1,0,0,1
-7850289.67520241,-3974988.75715252,89,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CAMINO A SAN JOSE DE MAIPO,-,6510,-33.598289,-70.520352,1,0,1,0,0,1
-7853352.63099159,-3975174.66139024,90,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CARDENAL OVIEDO,LOS ESPAÑOLES,-,-33.59968,-70.547867,1,1,0,0,0,0
-7856583.67921186,-3974899.34777101,91,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CONCHA Y TORO,-,1477,-33.59762,-70.576892,1,0,0,0,0,0
-7857262.17150825,-3971179.91718888,92,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CONCHA Y TORO,-,3919,-33.569785,-70.582987,1,0,0,0,0,0
-7856542.71363925,-3975997.70122211,93,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CONCHA Y TORO,EDUARDO CORDERO,-,-33.605838,-70.576524,1,0,1,0,0,1
-7856414.58490535,-3976863.44003598,94,REGION METROPOLITANA,PUENTE ALTO,CHOQUE,CONCHA Y TORO,EYZAGUIRRE,-,-33.612315,-70.575373,1,0,0,0,0,0
